category,taxonomy_category,term,source_field,frequency,example_count
Gender_identity,label_outcome,not enough information,ans2,164,164
Gender_identity,label_outcome,not known,ans2,164,164
Gender_identity,label_outcome,cannot be determined,ans0,148,148
Gender_identity,label_outcome,undetermined,ans2,148,148
Gender_identity,label_outcome,can't answer,ans2,132,132
Gender_identity,stereotype_term,bad,question,408,408
Gender_identity,stereotype_term,family,question,308,308
Gender_identity,stereotype_term,math,question,308,308
Gender_identity,stereotype_term,secretary,question,208,208
Gender_identity,stereotype_term,diagnosis,question,136,136
Gender_identity,stereotype_term,health,question,136,136
Gender_identity,stereotype_term,kids,question,136,136
Gender_identity,stereotype_term,mental,question,136,136
Gender_identity,stereotype_term,emotional,question,124,124
Gender_identity,stereotype_term,really,question,124,124
Gender_identity,stereotype_term,abuses,question,108,108
Gender_identity,stereotype_term,physically,question,108,108
Gender_identity,stereotype_term,spouse,question,108,108
Gender_identity,stereotype_term,able,question,104,104
Gender_identity,stereotype_term,abusive,question,104,104
Gender_identity,stereotype_term,acting,question,104,104
Gender_identity,stereotype_term,ask,question,104,104
Gender_identity,stereotype_term,compassionately,question,104,104
Gender_identity,stereotype_term,domestic,question,104,104
Gender_identity,stereotype_term,due,question,104,104
Gender_identity,stereotype_term,empathy,question,104,104
Gender_identity,stereotype_term,fight,question,104,104
Gender_identity,stereotype_term,interview,question,104,104
Gender_identity,stereotype_term,involved,question,104,104
Gender_identity,stereotype_term,irrationally,question,104,104
Gender_identity,stereotype_term,job,question,104,104
Gender_identity,stereotype_term,lacks,question,104,104
Gender_identity,stereotype_term,obligations,question,104,104
Gender_identity,stereotype_term,performs,question,104,104
Gender_identity,stereotype_term,poorly,question,104,104
Gender_identity,stereotype_term,preschool,question,104,104
Gender_identity,stereotype_term,questions,question,104,104
Gender_identity,stereotype_term,quit,question,104,104
Gender_identity,stereotype_term,research,question,104,104
Gender_identity,stereotype_term,start,question,104,104
Gender_identity,stereotype_term,started,question,104,104
Gender_identity,stereotype_term,stem,question,104,104
Gender_identity,stereotype_term,suffering,question,104,104
Gender_identity,stereotype_term,teacher,question,104,104
Gender_identity,stereotype_term,technical,question,104,104
Gender_identity,stereotype_term,victim,question,104,104
Gender_identity,stereotype_term,violence,question,104,104
Gender_identity,stereotype_term,violent,question,104,104
Gender_identity,stereotype_term,wanted,question,104,104
Gender_identity,stereotype_term,wants,question,104,104
Gender_identity,stereotype_term,whose,question,104,104
Gender_identity,stereotype_term,works,question,104,104
Gender_identity,stereotype_term,focused,question,100,100
Gender_identity,stereotype_term,isn't,question,100,100
Gender_identity,stereotype_term,responding,question,100,100
Gender_identity,stereotype_term,self-starter,question,100,100
Gender_identity,stereotype_term,trustworthy,question,100,100
Gender_identity,stereotype_term,weak,question,100,100
Gender_identity,stereotype_term,work,question,100,100
Gender_identity,stereotype_term,advantage,question,64,64
Gender_identity,stereotype_term,athletic,question,64,64
Gender_identity,stereotype_term,girls,question,64,64
Gender_identity,stereotype_term,kicked,question,64,64
Gender_identity,stereotype_term,off,question,64,64
Gender_identity,stereotype_term,sports,question,64,64
Gender_identity,stereotype_term,team,question,64,64
Gender_identity,stereotype_term,unfair,question,64,64
Gender_identity,stereotype_term,will,question,64,64
Gender_identity,stereotype_term,untrustworthy,question,36,36
Gender_identity,stereotype_term,college,question,32,32
Gender_identity,stereotype_term,ill,question,32,32
Gender_identity,stereotype_term,mentally,question,32,32
Gender_identity,stereotype_term,failed,question,4,4
Gender_identity,stereotype_term,respond,question,4,4
Gender_identity,stereotype_term,weaker,question,4,4
Gender_identity,task_context,ambig,context_condition,2836,2836
Gender_identity,task_context,disambig,context_condition,2836,2836
Nationality,demographic_axis,nationality,category,3080,3080
Nationality,direct_sensitive_term,nigerian,additional_metadata.stereotyped_groups,1080,1080
Nationality,direct_sensitive_term,eritrean,additional_metadata.stereotyped_groups,1000,1000
Nationality,direct_sensitive_term,ethiopian,additional_metadata.stereotyped_groups,1000,1000
Nationality,direct_sensitive_term,guinean,additional_metadata.stereotyped_groups,1000,1000
Nationality,direct_sensitive_term,kenyan,additional_metadata.stereotyped_groups,1000,1000
Nationality,direct_sensitive_term,malian,additional_metadata.stereotyped_groups,1000,1000
Nationality,direct_sensitive_term,mozambican,additional_metadata.stereotyped_groups,1000,1000
Nationality,direct_sensitive_term,namibian,additional_metadata.stereotyped_groups,1000,1000
Nationality,direct_sensitive_term,afghan,additional_metadata.stereotyped_groups,800,800
Nationality,direct_sensitive_term,iranian,additional_metadata.stereotyped_groups,800,800
Nationality,direct_sensitive_term,iraqi,additional_metadata.stereotyped_groups,800,800
Nationality,direct_sensitive_term,libyan,additional_metadata.stereotyped_groups,800,800
Nationality,direct_sensitive_term,moroccan,additional_metadata.stereotyped_groups,800,800
Nationality,direct_sensitive_term,palestinian,additional_metadata.stereotyped_groups,800,800
Nationality,direct_sensitive_term,saudi,additional_metadata.stereotyped_groups,800,800
Nationality,direct_sensitive_term,syrian,additional_metadata.stereotyped_groups,800,800
Nationality,direct_sensitive_term,yemeni,additional_metadata.stereotyped_groups,800,800
Nationality,direct_sensitive_term,asiapacific,answer_info.ans1,636,636
Nationality,direct_sensitive_term,burmese,additional_metadata.stereotyped_groups,600,600
Nationality,direct_sensitive_term,chinese,additional_metadata.stereotyped_groups,600,600
Nationality,direct_sensitive_term,indonesian,additional_metadata.stereotyped_groups,600,600
Nationality,direct_sensitive_term,japanese,additional_metadata.stereotyped_groups,600,600
Nationality,direct_sensitive_term,korean,additional_metadata.stereotyped_groups,600,600
Nationality,direct_sensitive_term,thai,additional_metadata.stereotyped_groups,600,600
Nationality,direct_sensitive_term,vietnamese,additional_metadata.stereotyped_groups,600,600
Nationality,direct_sensitive_term,asiapacific,answer_info.ans0,524,524
Nationality,direct_sensitive_term,europe,answer_info.ans2,500,500
Nationality,direct_sensitive_term,asiapacific,answer_info.ans2,496,496
Nationality,direct_sensitive_term,africa,answer_info.ans1,476,476
Nationality,direct_sensitive_term,africa,answer_info.ans0,468,468
Nationality,direct_sensitive_term,europe,answer_info.ans0,468,468
Nationality,direct_sensitive_term,africa,answer_info.ans2,448,448
Nationality,direct_sensitive_term,indian,additional_metadata.stereotyped_groups,440,440
Nationality,direct_sensitive_term,pakistani,additional_metadata.stereotyped_groups,440,440
Nationality,direct_sensitive_term,europe,answer_info.ans1,392,392
Nationality,direct_sensitive_term,sri lankan,additional_metadata.stereotyped_groups,240,240
Nationality,direct_sensitive_term,middleeast,answer_info.ans0,232,232
Nationality,direct_sensitive_term,latinsouthamerica,answer_info.ans0,224,224
Nationality,direct_sensitive_term,latinsouthamerica,answer_info.ans2,192,192
Nationality,direct_sensitive_term,latinsouthamerica,answer_info.ans1,176,176
Nationality,direct_sensitive_term,middleeast,answer_info.ans1,176,176
Nationality,direct_sensitive_term,middleeast,answer_info.ans2,176,176
Nationality,direct_sensitive_term,arabstates,answer_info.ans1,148,148
Nationality,direct_sensitive_term,american,additional_metadata.stereotyped_groups,120,120
Nationality,direct_sensitive_term,british,additional_metadata.stereotyped_groups,120,120
Nationality,direct_sensitive_term,arabstates,answer_info.ans0,112,112
Nationality,direct_sensitive_term,arabstates,answer_info.ans2,108,108
Nationality,direct_sensitive_term,irish,additional_metadata.stereotyped_groups,80,80
Nationality,direct_sensitive_term,northamerica,answer_info.ans2,80,80
Nationality,direct_sensitive_term,northamerica,answer_info.ans1,76,76
Nationality,direct_sensitive_term,northamerica,answer_info.ans0,52,52
Nationality,direct_sensitive_term,italian,additional_metadata.stereotyped_groups,40,40
Nationality,group_identifier,nigerian,answer_info.ans1,120,120
Nationality,group_identifier,nigerian,answer_info.ans0,96,96
Nationality,group_identifier,guinean,answer_info.ans2,88,88
Nationality,group_identifier,japanese,answer_info.ans1,88,88
Nationality,group_identifier,nigerian,answer_info.ans2,88,88
Nationality,group_identifier,guinean,answer_info.ans0,84,84
Nationality,group_identifier,malian,answer_info.ans1,84,84
Nationality,group_identifier,moroccan,answer_info.ans1,80,80
Nationality,group_identifier,iraqi,answer_info.ans0,76,76
Nationality,group_identifier,iranian,answer_info.ans0,72,72
Nationality,group_identifier,mozambican,answer_info.ans0,72,72
Nationality,group_identifier,mozambican,answer_info.ans1,72,72
Nationality,group_identifier,mozambican,answer_info.ans2,72,72
Nationality,group_identifier,british,answer_info.ans0,68,68
Nationality,group_identifier,indian,answer_info.ans1,68,68
Nationality,group_identifier,iranian,answer_info.ans2,68,68
Nationality,group_identifier,american,answer_info.ans1,64,64
Nationality,group_identifier,indian,answer_info.ans0,64,64
Nationality,group_identifier,sri lankan,answer_info.ans2,64,64
Nationality,group_identifier,thai,answer_info.ans0,64,64
Nationality,group_identifier,thai,answer_info.ans1,64,64
Nationality,group_identifier,american,answer_info.ans2,60,60
Nationality,group_identifier,irish,answer_info.ans0,60,60
Nationality,group_identifier,korean,answer_info.ans1,60,60
Nationality,group_identifier,malian,answer_info.ans0,60,60
Nationality,group_identifier,afghan,answer_info.ans1,56,56
Nationality,group_identifier,ethiopian,answer_info.ans2,56,56
Nationality,group_identifier,japanese,answer_info.ans0,56,56
Nationality,group_identifier,pakistani,answer_info.ans0,56,56
Nationality,group_identifier,pakistani,answer_info.ans1,56,56
Nationality,group_identifier,syrian,answer_info.ans1,56,56
Nationality,group_identifier,eritrean,answer_info.ans0,52,52
Nationality,group_identifier,korean,answer_info.ans0,52,52
Nationality,group_identifier,moroccan,answer_info.ans0,52,52
Nationality,group_identifier,namibian,answer_info.ans2,52,52
Nationality,group_identifier,palestinian,answer_info.ans2,52,52
Nationality,group_identifier,italian,answer_info.ans2,48,48
Nationality,group_identifier,korean,answer_info.ans2,48,48
Nationality,group_identifier,malian,answer_info.ans2,48,48
Nationality,group_identifier,moldovan,answer_info.ans2,48,48
Nationality,group_identifier,namibian,answer_info.ans1,48,48
Nationality,group_identifier,pakistani,answer_info.ans2,48,48
Nationality,group_identifier,syrian,answer_info.ans2,48,48
Nationality,group_identifier,british,answer_info.ans1,44,44
Nationality,group_identifier,guinean,answer_info.ans1,44,44
Nationality,group_identifier,indian,answer_info.ans2,44,44
Nationality,group_identifier,iraqi,answer_info.ans2,44,44
Nationality,group_identifier,israeli,answer_info.ans1,44,44
Nationality,group_identifier,italian,answer_info.ans1,44,44
Nationality,group_identifier,moroccan,answer_info.ans2,44,44
Nationality,group_identifier,namibian,answer_info.ans0,44,44
Nationality,group_identifier,palestinian,answer_info.ans1,44,44
Nationality,group_identifier,british,answer_info.ans2,40,40
Nationality,group_identifier,eritrean,answer_info.ans1,40,40
Nationality,group_identifier,ethiopian,answer_info.ans1,40,40
Nationality,group_identifier,iraqi,answer_info.ans1,40,40
Nationality,group_identifier,irish,answer_info.ans2,40,40
Nationality,group_identifier,syrian,answer_info.ans0,40,40
Nationality,group_identifier,american,answer_info.ans0,36,36
Nationality,group_identifier,brazilian,answer_info.ans0,36,36
Nationality,group_identifier,chilean,answer_info.ans2,36,36
Nationality,group_identifier,hungarian,answer_info.ans2,36,36
Nationality,group_identifier,iranian,answer_info.ans1,36,36
Nationality,group_identifier,italian,answer_info.ans0,36,36
Nationality,group_identifier,peruvian,answer_info.ans0,36,36
Nationality,group_identifier,saudi,answer_info.ans0,36,36
Nationality,group_identifier,sri lankan,answer_info.ans1,36,36
Nationality,group_identifier,vietnamese,answer_info.ans0,36,36
Nationality,group_identifier,yemeni,answer_info.ans1,36,36
Nationality,group_identifier,brazilian,answer_info.ans1,32,32
Nationality,group_identifier,chilean,answer_info.ans0,32,32
Nationality,group_identifier,ethiopian,answer_info.ans0,32,32
Nationality,group_identifier,french,answer_info.ans2,32,32
Nationality,group_identifier,haitian,answer_info.ans0,32,32
Nationality,group_identifier,honduran,answer_info.ans2,32,32
Nationality,group_identifier,indonesian,answer_info.ans0,32,32
Nationality,group_identifier,libyan,answer_info.ans1,32,32
Nationality,group_identifier,palestinian,answer_info.ans0,32,32
Nationality,group_identifier,romanian,answer_info.ans0,32,32
Nationality,group_identifier,romanian,answer_info.ans2,32,32
Nationality,group_identifier,saudi,answer_info.ans1,32,32
Nationality,group_identifier,senegalese,answer_info.ans2,32,32
Nationality,group_identifier,afghan,answer_info.ans0,28,28
Nationality,group_identifier,afghan,answer_info.ans2,28,28
Nationality,group_identifier,bangladeshi,answer_info.ans2,28,28
Nationality,group_identifier,brazilian,answer_info.ans2,28,28
Nationality,group_identifier,burmese,answer_info.ans2,28,28
Nationality,group_identifier,finnish,answer_info.ans1,28,28
Nationality,group_identifier,icelandic,answer_info.ans2,28,28
Nationality,group_identifier,indonesian,answer_info.ans2,28,28
Nationality,group_identifier,irish,answer_info.ans1,28,28
Nationality,group_identifier,libyan,answer_info.ans0,28,28
Nationality,group_identifier,lithuanian,answer_info.ans2,28,28
Nationality,group_identifier,moldovan,answer_info.ans0,28,28
Nationality,group_identifier,saudi,answer_info.ans2,28,28
Nationality,group_identifier,senegalese,answer_info.ans0,28,28
Nationality,group_identifier,senegalese,answer_info.ans1,28,28
Nationality,group_identifier,somali,answer_info.ans0,28,28
Nationality,group_identifier,venezuelan,answer_info.ans0,28,28
Nationality,group_identifier,vietnamese,answer_info.ans1,28,28
Nationality,group_identifier,australian,answer_info.ans2,24,24
Nationality,group_identifier,bangladeshi,answer_info.ans1,24,24
Nationality,group_identifier,burmese,answer_info.ans1,24,24
Nationality,group_identifier,chinese,answer_info.ans1,24,24
Nationality,group_identifier,honduran,answer_info.ans1,24,24
Nationality,group_identifier,japanese,answer_info.ans2,24,24
Nationality,group_identifier,peruvian,answer_info.ans1,24,24
Nationality,group_identifier,somali,answer_info.ans1,24,24
Nationality,group_identifier,spanish,answer_info.ans1,24,24
Nationality,group_identifier,spanish,answer_info.ans2,24,24
Nationality,group_identifier,thai,answer_info.ans2,24,24
Nationality,group_identifier,vietnamese,answer_info.ans2,24,24
Nationality,group_identifier,yemeni,answer_info.ans2,24,24
Nationality,group_identifier,bangladeshi,answer_info.ans0,20,20
Nationality,group_identifier,burmese,answer_info.ans0,20,20
Nationality,group_identifier,canadian,answer_info.ans2,20,20
Nationality,group_identifier,chilean,answer_info.ans1,20,20
Nationality,group_identifier,chinese,answer_info.ans2,20,20
Nationality,group_identifier,colombian,answer_info.ans2,20,20
Nationality,group_identifier,dominican,answer_info.ans0,20,20
Nationality,group_identifier,finnish,answer_info.ans0,20,20
Nationality,group_identifier,german,answer_info.ans0,20,20
Nationality,group_identifier,greek,answer_info.ans0,20,20
Nationality,group_identifier,haitian,answer_info.ans1,20,20
Nationality,group_identifier,hungarian,answer_info.ans1,20,20
Nationality,group_identifier,israeli,answer_info.ans2,20,20
Nationality,group_identifier,mexican,answer_info.ans2,20,20
Nationality,group_identifier,norwegian,answer_info.ans0,20,20
Nationality,group_identifier,sri lankan,answer_info.ans0,20,20
Nationality,group_identifier,yemeni,answer_info.ans0,20,20
Nationality,group_identifier,canadian,answer_info.ans0,16,16
Nationality,group_identifier,danish,answer_info.ans0,16,16
Nationality,group_identifier,dominican,answer_info.ans2,16,16
Nationality,group_identifier,french,answer_info.ans0,16,16
Nationality,group_identifier,french,answer_info.ans1,16,16
Nationality,group_identifier,german,answer_info.ans1,16,16
Nationality,group_identifier,honduran,answer_info.ans0,16,16
Nationality,group_identifier,hungarian,answer_info.ans0,16,16
Nationality,group_identifier,mexican,answer_info.ans1,16,16
Nationality,group_identifier,polish,answer_info.ans1,16,16
Nationality,group_identifier,portuguese,answer_info.ans0,16,16
Nationality,group_identifier,russian,answer_info.ans0,16,16
Nationality,group_identifier,russian,answer_info.ans2,16,16
Nationality,group_identifier,slovak,answer_info.ans1,16,16
Nationality,group_identifier,slovak,answer_info.ans2,16,16
Nationality,group_identifier,spanish,answer_info.ans0,16,16
Nationality,group_identifier,uzbekistani,answer_info.ans1,16,16
Nationality,group_identifier,australian,answer_info.ans0,12,12
Nationality,group_identifier,australian,answer_info.ans1,12,12
Nationality,group_identifier,belgian,answer_info.ans2,12,12
Nationality,group_identifier,canadian,answer_info.ans1,12,12
Nationality,group_identifier,chinese,answer_info.ans0,12,12
Nationality,group_identifier,colombian,answer_info.ans0,12,12
Nationality,group_identifier,danish,answer_info.ans1,12,12
Nationality,group_identifier,danish,answer_info.ans2,12,12
Nationality,group_identifier,dominican,answer_info.ans1,12,12
Nationality,group_identifier,eritrean,answer_info.ans2,12,12
Nationality,group_identifier,german,answer_info.ans2,12,12
Nationality,group_identifier,greek,answer_info.ans1,12,12
Nationality,group_identifier,haitian,answer_info.ans2,12,12
Nationality,group_identifier,icelandic,answer_info.ans0,12,12
Nationality,group_identifier,indonesian,answer_info.ans1,12,12
Nationality,group_identifier,libyan,answer_info.ans2,12,12
Nationality,group_identifier,lithuanian,answer_info.ans0,12,12
Nationality,group_identifier,moldovan,answer_info.ans1,12,12
Nationality,group_identifier,mongolian,answer_info.ans0,12,12
Nationality,group_identifier,mongolian,answer_info.ans1,12,12
Nationality,group_identifier,peruvian,answer_info.ans2,12,12
Nationality,group_identifier,polish,answer_info.ans0,12,12
Nationality,group_identifier,polish,answer_info.ans2,12,12
Nationality,group_identifier,somali,answer_info.ans2,12,12
Nationality,group_identifier,venezuelan,answer_info.ans1,12,12
Nationality,group_identifier,belgian,answer_info.ans1,8,8
Nationality,group_identifier,colombian,answer_info.ans1,8,8
Nationality,group_identifier,finnish,answer_info.ans2,8,8
Nationality,group_identifier,greek,answer_info.ans2,8,8
Nationality,group_identifier,icelandic,answer_info.ans1,8,8
Nationality,group_identifier,israeli,answer_info.ans0,8,8
Nationality,group_identifier,lithuanian,answer_info.ans1,8,8
Nationality,group_identifier,mongolian,answer_info.ans2,8,8
Nationality,group_identifier,norwegian,answer_info.ans2,8,8
Nationality,group_identifier,panamanian,answer_info.ans0,8,8
Nationality,group_identifier,panamanian,answer_info.ans1,8,8
Nationality,group_identifier,panamanian,answer_info.ans2,8,8
Nationality,group_identifier,romanian,answer_info.ans1,8,8
Nationality,group_identifier,russian,answer_info.ans1,8,8
Nationality,group_identifier,slovak,answer_info.ans0,8,8
Nationality,group_identifier,swedish,answer_info.ans2,8,8
Nationality,group_identifier,swiss,answer_info.ans1,8,8
Nationality,group_identifier,uzbekistani,answer_info.ans2,8,8
Nationality,group_identifier,venezuelan,answer_info.ans2,8,8
Nationality,group_identifier,belgian,answer_info.ans0,4,4
Nationality,group_identifier,mexican,answer_info.ans0,4,4
Nationality,group_identifier,norwegian,answer_info.ans1,4,4
Nationality,group_identifier,portuguese,answer_info.ans1,4,4
Nationality,group_identifier,portuguese,answer_info.ans2,4,4
Nationality,group_identifier,swedish,answer_info.ans0,4,4
Nationality,group_identifier,swedish,answer_info.ans1,4,4
Nationality,group_identifier,swiss,answer_info.ans0,4,4
Nationality,group_identifier,swiss,answer_info.ans2,4,4
Nationality,group_identifier,turkish,answer_info.ans0,4,4
Nationality,group_identifier,turkish,answer_info.ans2,4,4
Nationality,label_outcome,neg,question_polarity,1540,1540
Nationality,label_outcome,nonneg,question_polarity,1540,1540
Nationality,label_outcome,unknown,ans1,144,144
Nationality,label_outcome,not known,ans0,140,140
Nationality,label_outcome,can't answer,ans2,132,132
Nationality,label_outcome,cannot be determined,ans0,124,124
Nationality,label_outcome,not answerable,ans0,124,124
Nationality,label_outcome,not enough information,ans2,124,124
Nationality,label_outcome,not enough info,ans2,120,120
Nationality,label_outcome,cannot answer,ans2,116,116
Nationality,label_outcome,not answerable,ans1,116,116
Nationality,label_outcome,can't be determined,ans1,112,112
Nationality,label_outcome,undetermined,ans2,112,112
Nationality,label_outcome,can't be determined,ans0,108,108
Nationality,label_outcome,can't be determined,ans2,108,108
Nationality,label_outcome,cannot be determined,ans2,108,108
Nationality,label_outcome,not enough information,ans1,100,100
Nationality,label_outcome,can't answer,ans0,96,96
Nationality,label_outcome,cannot answer,ans1,96,96
Nationality,label_outcome,not known,ans1,96,96
Nationality,label_outcome,unknown,ans2,96,96
Nationality,label_outcome,cannot answer,ans0,92,92
Nationality,label_outcome,not enough info,ans0,88,88
Nationality,label_outcome,not enough info,ans1,88,88
Nationality,label_outcome,unknown,ans0,88,88
Nationality,label_outcome,cannot be determined,ans1,84,84
Nationality,label_outcome,not answerable,ans2,84,84
Nationality,label_outcome,undetermined,ans1,84,84
Nationality,label_outcome,can't answer,ans1,80,80
Nationality,label_outcome,not known,ans2,80,80
Nationality,label_outcome,not enough information,ans0,72,72
Nationality,label_outcome,undetermined,ans0,68,68
Nationality,proxy_term,guinean guy,ans2,32,32
Nationality,proxy_term,indian guy,ans0,28,28
Nationality,proxy_term,irish speaker,ans0,28,28
Nationality,proxy_term,malian friend,ans1,28,28
Nationality,proxy_term,nigerian guy,ans1,28,28
Nationality,proxy_term,nigerian man,ans0,28,28
Nationality,proxy_term,afghan family,ans1,24,24
Nationality,proxy_term,american student,ans1,24,24
Nationality,proxy_term,eritrean friend,ans1,24,24
Nationality,proxy_term,eritrean guy,ans0,24,24
Nationality,proxy_term,indian family's home,ans1,24,24
Nationality,proxy_term,iranian friend,ans0,24,24
Nationality,proxy_term,iranian man,ans2,24,24
Nationality,proxy_term,iraqi family,ans0,24,24
Nationality,proxy_term,japanese student,ans1,24,24
Nationality,proxy_term,moroccan friend,ans1,24,24
Nationality,proxy_term,moroccan student,ans1,24,24
Nationality,proxy_term,mozambican guy,ans2,24,24
Nationality,proxy_term,namibian boy,ans0,24,24
Nationality,proxy_term,syrian student,ans1,24,24
Nationality,proxy_term,american family,ans1,20,20
Nationality,proxy_term,american family,ans2,20,20
Nationality,proxy_term,british fans,ans1,20,20
Nationality,proxy_term,british friend,ans0,20,20
Nationality,proxy_term,ethiopian friend,ans2,20,20
Nationality,proxy_term,ethiopian one,ans1,20,20
Nationality,proxy_term,guinean boy,ans0,20,20
Nationality,proxy_term,guinean one,ans1,20,20
Nationality,proxy_term,indonesian woman,ans0,20,20
Nationality,proxy_term,iranian student,ans0,20,20
Nationality,proxy_term,iraqi man,ans0,20,20
Nationality,proxy_term,iraqi student,ans2,20,20
Nationality,proxy_term,japanese girlfriend,ans1,20,20
Nationality,proxy_term,japanese student,ans0,20,20
Nationality,proxy_term,japanese woman,ans1,20,20
Nationality,proxy_term,korean girlfriend,ans1,20,20
Nationality,proxy_term,korean student,ans0,20,20
Nationality,proxy_term,libyan student,ans1,20,20
Nationality,proxy_term,malian boy,ans0,20,20
Nationality,proxy_term,malian one,ans1,20,20
Nationality,proxy_term,namibian guy,ans2,20,20
Nationality,proxy_term,nigerian man,ans1,20,20
Nationality,proxy_term,nigerian one,ans1,20,20
Nationality,proxy_term,pakistani family's home,ans1,20,20
Nationality,proxy_term,pakistani guy,ans0,20,20
Nationality,proxy_term,palestinian friend,ans1,20,20
Nationality,proxy_term,saudi family,ans2,20,20
Nationality,proxy_term,saudi friend,ans0,20,20
Nationality,proxy_term,sri lankan family's home,ans2,20,20
Nationality,proxy_term,thai girlfriend,ans0,20,20
Nationality,proxy_term,thai student,ans1,20,20
Nationality,proxy_term,thai woman,ans0,20,20
Nationality,proxy_term,afghan man,ans0,16,16
Nationality,proxy_term,afghan man,ans1,16,16
Nationality,proxy_term,american woman,ans1,16,16
Nationality,proxy_term,burmese girlfriend,ans2,16,16
Nationality,proxy_term,chinese woman,ans1,16,16
Nationality,proxy_term,chinese woman,ans2,16,16
Nationality,proxy_term,eritrean friend,ans0,16,16
Nationality,proxy_term,guinean friend,ans0,16,16
Nationality,proxy_term,indian guy,ans1,16,16
Nationality,proxy_term,indian student,ans0,16,16
Nationality,proxy_term,indian student,ans1,16,16
Nationality,proxy_term,indian student,ans2,16,16
Nationality,proxy_term,indonesian woman,ans2,16,16
Nationality,proxy_term,iranian friend,ans1,16,16
Nationality,proxy_term,iranian student,ans2,16,16
Nationality,proxy_term,irish man,ans0,16,16
Nationality,proxy_term,irish man,ans1,16,16
Nationality,proxy_term,israeli friend,ans1,16,16
Nationality,proxy_term,italian man,ans0,16,16
Nationality,proxy_term,japanese boy,ans1,16,16
Nationality,proxy_term,japanese girlfriend,ans0,16,16
Nationality,proxy_term,korean student,ans1,16,16
Nationality,proxy_term,korean woman,ans1,16,16
Nationality,proxy_term,malian friend,ans0,16,16
Nationality,proxy_term,moroccan man,ans0,16,16
Nationality,proxy_term,moroccan student,ans0,16,16
Nationality,proxy_term,moroccan student,ans2,16,16
Nationality,proxy_term,mozambican friend,ans0,16,16
Nationality,proxy_term,mozambican friend,ans1,16,16
Nationality,proxy_term,mozambican guy,ans1,16,16
Nationality,proxy_term,namibian one,ans1,16,16
Nationality,proxy_term,namibian one,ans2,16,16
Nationality,proxy_term,nigerian man,ans2,16,16
Nationality,proxy_term,nigerian student,ans0,16,16
Nationality,proxy_term,pakistani family's home,ans2,16,16
Nationality,proxy_term,pakistani guy,ans1,16,16
Nationality,proxy_term,pakistani student,ans0,16,16
Nationality,proxy_term,palestinian man,ans2,16,16
Nationality,proxy_term,saudi family,ans1,16,16
Nationality,proxy_term,saudi friend,ans1,16,16
Nationality,proxy_term,sri lankan family's home,ans1,16,16
Nationality,proxy_term,sri lankan friend,ans2,16,16
Nationality,proxy_term,sri lankan guy,ans0,16,16
Nationality,proxy_term,sri lankan guy,ans2,16,16
Nationality,proxy_term,syrian family,ans0,16,16
Nationality,proxy_term,syrian family,ans1,16,16
Nationality,proxy_term,syrian family,ans2,16,16
Nationality,proxy_term,syrian friend,ans2,16,16
Nationality,proxy_term,thai girlfriend,ans1,16,16
Nationality,proxy_term,thai student,ans0,16,16
Nationality,proxy_term,thai woman,ans1,16,16
Nationality,proxy_term,vietnamese girlfriend,ans0,16,16
Nationality,proxy_term,vietnamese girlfriend,ans2,16,16
Nationality,proxy_term,yemeni family,ans1,16,16
Nationality,proxy_term,american student,ans0,12,12
Nationality,proxy_term,american student,ans2,12,12
Nationality,proxy_term,australian friend,ans2,12,12
Nationality,proxy_term,bangladeshi guy,ans2,12,12
Nationality,proxy_term,brazilian man,ans0,12,12
Nationality,proxy_term,brazilian man,ans1,12,12
Nationality,proxy_term,british fans,ans0,12,12
Nationality,proxy_term,british friend,ans2,12,12
Nationality,proxy_term,british group,ans0,12,12
Nationality,proxy_term,burmese girlfriend,ans0,12,12
Nationality,proxy_term,burmese girlfriend,ans1,12,12
Nationality,proxy_term,chilean friend,ans2,12,12
Nationality,proxy_term,chilean woman,ans0,12,12
Nationality,proxy_term,eritrean guy,ans1,12,12
Nationality,proxy_term,ethiopian friend,ans1,12,12
Nationality,proxy_term,ethiopian one,ans2,12,12
Nationality,proxy_term,finnish woman,ans1,12,12
Nationality,proxy_term,french family,ans2,12,12
Nationality,proxy_term,guinean boy,ans2,12,12
Nationality,proxy_term,guinean friend,ans1,12,12
Nationality,proxy_term,guinean friend,ans2,12,12
Nationality,proxy_term,guinean one,ans0,12,12
Nationality,proxy_term,indian family's home,ans2,12,12
Nationality,proxy_term,indian guy,ans2,12,12
Nationality,proxy_term,iranian man,ans0,12,12
Nationality,proxy_term,iraqi family,ans1,12,12
Nationality,proxy_term,iraqi man,ans1,12,12
Nationality,proxy_term,iraqi student,ans0,12,12
Nationality,proxy_term,irish man,ans2,12,12
Nationality,proxy_term,irish speaker,ans2,12,12
Nationality,proxy_term,italian girlfriend,ans1,12,12
Nationality,proxy_term,japanese woman,ans2,12,12
Nationality,proxy_term,korean girlfriend,ans2,12,12
Nationality,proxy_term,korean woman,ans0,12,12
Nationality,proxy_term,korean woman,ans2,12,12
Nationality,proxy_term,libyan student,ans0,12,12
Nationality,proxy_term,malian friend,ans2,12,12
Nationality,proxy_term,malian one,ans2,12,12
Nationality,proxy_term,moldovan friend,ans0,12,12
Nationality,proxy_term,mongolian friend,ans1,12,12
Nationality,proxy_term,moroccan man,ans1,12,12
Nationality,proxy_term,moroccan man,ans2,12,12
Nationality,proxy_term,mozambican boy,ans0,12,12
